name;ring;quadrant;description;;;
Slite ;Tools;Prøv ut;Dok i på team nivå. Test fra PI24. https://slite.com/;;;
SonarQube;Tools;Bruk;Verktøy for kvalitetsanalyse av kildekode;;;
Charles proxy;Tools;Prøv ut;Debugging og mocking av API-data for native;;;
Conduktor;Tools;Bruk;Verktøy for inspisering av Kafka-meldinger;;;
Docker Desktop;Tools;Bruk;Kafka lokal utvikling;;;
Figma;Tools;Bruk;UX design og prototyping;;;
IntelliJ;Languages-and-frameworks;Bruk;Java og Kotlin IDE;;;
SQL Developer;Languages-and-frameworks;Bruk;Databaseaksess;;;
Secure CRT;Platform;Bruk;SSH og Telnet-klient;;;
Teams;Tools;Bruk;Kommunikasjonsplattform;;;
Slack;Tools;Prøv ut;Kommunikasjonsplattform;;;
Kafka;Platform;Bruk;Event streaming plattform;;;
Kafka Connect;Platform;Bruk;Event streaming plattform;;;
Browser stack;Tools;Bruk;Web og mobil testverktøy;;;
Miro;Tools;Bruk;Kommunikasjon- og samarbeidsverktøy;;;
Sketch;Tools;Utgår;UX design og prototyping;;;
Abstract;Tools;Utgår;UX design og prototyping;;;
Mermaid;Tools;Bruk;Språk/verktøry for å beskrive diagrammer;;;
Jenkins;Platform;Bruk;CI/CD-plattform;;;
Sentry;Languages-and-frameworks;Utgår;Rammeverk for feilsøking og overvåking (Omniweb);;;
webpack;Tools;Bruk;Pakkeverktøy for JavaScript-applikasjoner;;;
Cypress;Tools;Bruk;Testverktøy for front end;;;
Splunk;Tools;Bruk;Verktøy for feilsøking og overvåking ;;;
AppDynamics;Tools;Prøv ut;Verktøy for feilsøking og overvåking;;;
Kotlin;Languages-and-frameworks;Bruk;Programmeringsspråk;;;
Java;Languages-and-frameworks;Bruk;Programmeringsspråk;;;
Spring boot;Languages-and-frameworks;Bruk;Rammeverk for REST-API'er;;;
Sonarlint;Tools;Bruk;IntelliJ plugin for kvalitetsanalyse av kildekode;;;
Grafana;Tools;Bruk;Verktøy for overvåking. Visualisering av metrikker.;;;
Prometheus;Platform;Bruk;Verktøy for overvåking. Innsamling av metrikker.;;;
ArgoCD;Platform;Bruk;CD-platform for k8s;;;
Flyway;Tools;Bruk;Automatisk DB-deployment/migrering;;;
Ktor;Languages-and-frameworks;Bruk;Rammeverk for asynkrone løsninger i Kotlin;;;
Apache Maven;Tools;Bruk;Verktøy for automatiserte bygg;;;
logback;Platform;Bruk;Rammeverk for serialisering av darta basert på JSON-spec;;;
log4j;Tools;Bruk;Verktøy for logging;;;
Bender;Platform;Bruk;Konfigurasjonsrepository ;;;
mg;Tools;Bruk;Egenutviklet kommandolinjeverktøy bruker metaGraf-spec for å lage nødvendige “byggeklosser” i Kubernetes eller OpenShift;;;
Middle Earth;Tools;Bruk;Egenutviklet verktøy for deployment i alle miljøer;;;
Websphere Liberty Profile;Platform;Begrens;IBM appserver;;;
Lombok;Techniques;Begrens;Java-bibliotek for redusering av boilerplate-kode;;;
Kanban;Techniques;Bruk;;;;
SAFe;Techniques;Bruk;;;;
Scrum;Techniques;Bruk;;;;
OpenID Connect/Keycloak/OAuth2;Platform;Bruk;Autentiserings- og autorisasjonsverktøy;;;
Vault;Platform;Bruk;System for håndering av hemmeligheter;;;
QlikView;Platform;Bruk;ETL og Business analyse;;;
Power BI;Tools;Prøv ut;ETL og Business analyse;;;
Business Objects;Platform;Bruk;ETL og Business analyse;;;
Gatling;Tools;Bruk;Verktøy for ytelsestest;;;
Postman;Tools;Bruk;Verktøy for utvikling og automatiserte tester av API-er;;;
Fitnesse;Tools;Begrens;Verktøy for automatiserte tester;;;
Google Analytics;Platform;Bruk;Verktøy for webanalyse;;;
Hotjar;Tools;Bruk;Verktøy for analyse av brukerinteraksjon på web;;;
QlikSense;Platform;Bruk;ETL og Business analyse;;;
VSCode;Languages-and-frameworks;Bruk;IDE;;;
Git;Tools;Bruk;Versjonskontrollsystem;;;
Bitbucket;Tools;Bruk;Git repository hosting system;;;
bash/zsh/fish;Tools;Bruk;Unix shell;;;
powershell;Tools;Bruk;Windows shell;;;
Open API specificaton;Techniques;Bruk;Spec for dok av REST-tjenester;;;
axe;Tools;Bruk;Validering av UU for web;;;
graphql;Languages-and-frameworks;Begrens;Query languange for API;;;
Enonic XP;Platform;Bruk;CMS;;;
Websocket;Platform;Bruk;Kommunkasjonsprotokoll web browser <-> server;;;
Openshift;Platform;Bruk;k8s container plattform;;;
winscp;Languages-and-frameworks;Bruk;SSH file transfer protocol;;;
Yammer;Tools;Bruk;;;;
Draw.io;Tools;Bruk;Språk/verktøry for å beskrive diagrammer;;;
Nt Boot;Languages-and-frameworks;Bruk;NT overbygg til Spring boot;;;
NT Ktor;Languages-and-frameworks;Bruk;NT overbygg til Ktor;;;
Web sequence diagram;Tools;Bruk;Språk/verktøry for å beskrive diagrammer;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;